time,ask_price,bid_price
2017-08-14 00:00:01,142.104,142.104
2017-08-14 00:00:03,142.104,142.104
2017-08-14 00:00:04,142.104,142.104
2017-08-14 00:00:05,142.104,142.104
2017-08-14 00:00:06,142.104,142.104
2017-08-14 00:00:07,142.104,142.104
2017-08-14 00:00:08,142.104,142.104
2017-08-14 00:00:10,142.104,142.104
2017-08-14 00:00:11,142.104,142.104
2017-08-14 00:00:12,142.104,142.104
2017-08-14 00:00:13,142.104,142.104
2017-08-14 00:00:14,142.104,142.104
2017-08-14 00:00:16,142.104,142.104
2017-08-14 00:00:17,142.104,142.104
2017-08-14 00:00:18,142.104,142.104
2017-08-14 00:00:19,142.104,142.104
2017-08-14 00:00:20,142.104,142.104
2017-08-14 00:00:21,142.104,142.104
2017-08-14 00:00:23,142.104,142.104
2017-08-14 00:00:24,142.104,142.104
2017-08-14 00:00:25,142.104,142.104
2017-08-14 00:00:26,142.104,142.104
2017-08-14 00:00:27,142.104,142.104
2017-08-14 00:00:28,142.104,142.104
2017-08-14 00:00:30,142.104,142.104
2017-08-14 00:00:31,142.104,142.104
2017-08-14 00:00:32,142.104,142.104
2017-08-14 00:00:33,142.104,142.104
2017-08-14 00:00:34,142.104,142.104
2017-08-14 00:00:36,142.104,142.104
2017-08-14 00:00:37,142.104,142.104
2017-08-14 00:00:38,142.104,142.104
2017-08-14 00:00:39,142.104,142.104
2017-08-14 00:00:40,142.104,142.104
2017-08-14 00:00:41,142.104,142.104
2017-08-14 00:00:43,142.104,142.104
2017-08-14 00:00:44,142.104,142.104
2017-08-14 00:00:45,142.104,142.104
2017-08-14 00:00:46,142.104,142.104
2017-08-14 00:00:47,142.104,142.104
2017-08-14 00:00:48,142.104,142.104
2017-08-14 00:00:50,142.104,142.104
2017-08-14 00:00:51,142.104,142.104
2017-08-14 00:00:52,142.104,142.104
2017-08-14 00:00:53,142.104,142.104
2017-08-14 00:00:54,142.104,142.104
2017-08-14 00:00:56,142.104,142.104
2017-08-14 00:00:57,142.104,142.104
2017-08-14 00:00:58,142.104,142.104
2017-08-14 00:00:59,142.104,142.104
2017-08-14 00:01:00,142.104,142.104
2017-08-14 00:01:01,142.104,142.104
2017-08-14 00:01:03,142.104,142.104
2017-08-14 00:01:04,142.104,142.104
2017-08-14 00:01:05,142.104,142.104
2017-08-14 00:01:06,142.104,142.104
2017-08-14 00:01:07,142.104,142.104
2017-08-14 00:01:09,142.104,142.104
2017-08-14 00:01:10,142.104,142.104
2017-08-14 00:01:11,142.104,142.104
2017-08-14 00:01:12,142.104,142.104
2017-08-14 00:01:13,142.104,142.104
2017-08-14 00:01:15,142.104,142.104
2017-08-14 00:01:16,142.104,142.104
2017-08-14 00:01:17,142.104,142.104
2017-08-14 00:01:18,142.104,142.104
2017-08-14 00:01:19,142.104,142.104
2017-08-14 00:01:20,142.104,142.104
2017-08-14 00:01:22,142.104,142.104
2017-08-14 00:01:23,142.104,142.104
2017-08-14 00:01:24,142.104,142.104
2017-08-14 00:01:25,142.104,142.104
2017-08-14 00:01:26,142.104,142.104
2017-08-14 00:01:27,142.104,142.104
2017-08-14 00:01:29,142.104,142.104
2017-08-14 00:01:30,142.104,142.104
2017-08-14 00:01:31,142.104,142.104
2017-08-14 00:01:32,142.104,142.104
2017-08-14 00:01:33,142.104,142.104
2017-08-14 00:01:35,142.104,142.104
2017-08-14 00:01:36,142.104,142.104
2017-08-14 00:01:37,142.104,142.104
2017-08-14 00:01:38,142.104,142.104
