time,ask_price,bid_price
2017-08-11 19:17:52,123.0,123.0
2017-08-11 19:44:59,141.346,141.346
2017-08-11 19:45:00,141.346,141.346
2017-08-11 19:45:01,141.346,141.346
2017-08-11 19:45:02,141.346,141.346
2017-08-11 19:45:04,141.346,141.346
2017-08-11 19:45:05,141.346,141.346
2017-08-11 19:45:06,141.346,141.346
2017-08-11 19:45:07,141.346,141.346
2017-08-11 19:45:08,141.346,141.346
2017-08-11 19:45:10,141.346,141.346
2017-08-11 19:45:11,141.346,141.346
2017-08-11 19:45:12,141.348,141.348
2017-08-11 19:45:13,141.351,141.351
2017-08-11 19:45:14,141.353,141.353
2017-08-11 19:45:15,141.358,141.358
2017-08-11 19:45:17,141.356,141.356
2017-08-11 19:45:18,141.356,141.356
2017-08-11 19:45:19,141.356,141.356
2017-08-11 19:45:20,141.354,141.354
2017-08-11 19:45:21,141.352,141.352
2017-08-11 19:45:23,141.355,141.355
2017-08-11 19:45:24,141.355,141.355
2017-08-11 19:45:25,141.344,141.344
2017-08-11 19:45:26,141.34,141.34
2017-08-11 19:45:27,141.34,141.34
2017-08-11 19:45:28,141.346,141.346
2017-08-11 19:45:30,141.347,141.347
2017-08-11 19:45:31,141.355,141.355
2017-08-11 19:45:32,141.356,141.356
2017-08-11 19:45:33,141.355,141.355
2017-08-11 19:45:34,141.355,141.355
2017-08-11 19:45:36,141.358,141.358
2017-08-11 19:45:37,141.36,141.36
2017-08-11 19:45:38,141.36,141.36
2017-08-11 19:45:39,141.36,141.36
2017-08-11 19:45:40,141.36,141.36
2017-08-11 19:45:41,141.36,141.36
2017-08-11 19:45:43,141.36,141.36
2017-08-11 19:45:44,141.361,141.361
2017-08-11 19:45:45,141.36,141.36
2017-08-11 19:45:46,141.36,141.36
2017-08-11 19:45:47,141.368,141.368
2017-08-11 19:45:49,141.353,141.353
2017-08-11 19:45:50,141.347,141.347
2017-08-11 19:45:51,141.347,141.347
2017-08-11 19:45:52,141.353,141.353
2017-08-11 19:45:53,141.353,141.353
2017-08-11 19:45:54,141.354,141.354
2017-08-11 19:45:56,141.367,141.367
2017-08-11 19:45:57,141.367,141.367
2017-08-11 19:45:58,141.37,141.37
2017-08-11 19:45:59,141.38,141.38
2017-08-11 19:46:00,141.38,141.38
2017-08-11 19:46:02,141.372,141.372
2017-08-11 19:46:03,141.367,141.367
2017-08-11 19:46:04,141.37,141.37
2017-08-11 19:46:05,141.37,141.37
2017-08-11 19:46:06,141.37,141.37
2017-08-11 19:46:07,141.369,141.369
2017-08-11 19:46:09,141.369,141.369
2017-08-11 19:46:10,141.365,141.365
2017-08-11 19:46:11,141.365,141.365
2017-08-11 19:46:12,141.357,141.357
2017-08-11 19:46:13,141.36,141.36
2017-08-11 19:46:15,141.36,141.36
2017-08-11 19:46:16,141.36,141.36
2017-08-11 19:46:17,141.36,141.36
2017-08-11 19:46:18,141.36,141.36
2017-08-11 19:46:19,141.36,141.36
2017-08-11 19:46:20,141.36,141.36
2017-08-11 19:46:22,141.36,141.36
2017-08-11 19:46:23,141.36,141.36
2017-08-11 19:46:24,141.36,141.36
2017-08-11 19:46:25,141.36,141.36
2017-08-11 19:46:26,141.363,141.363
2017-08-11 19:46:28,141.363,141.363
2017-08-11 19:46:29,141.363,141.363
2017-08-11 19:46:30,141.363,141.363
2017-08-11 19:46:31,141.368,141.368
2017-08-11 19:46:32,141.38,141.38
2017-08-11 19:46:33,141.373,141.373
2017-08-11 19:46:35,141.37,141.37
2017-08-11 19:46:36,141.379,141.379
2017-08-11 19:46:37,141.38,141.38
2017-08-11 19:46:38,141.381,141.381
2017-08-11 19:46:39,141.38,141.38
2017-08-11 19:46:41,141.38,141.38
2017-08-11 19:46:42,141.385,141.385
2017-08-11 19:46:43,141.385,141.385
2017-08-11 19:46:44,141.385,141.385
2017-08-11 19:46:45,141.385,141.385
2017-08-11 19:46:46,141.385,141.385
2017-08-11 19:46:48,141.385,141.385
2017-08-11 19:46:49,141.385,141.385
2017-08-11 19:46:50,141.383,141.383
2017-08-11 19:46:51,141.383,141.383
2017-08-11 19:46:52,141.383,141.383
2017-08-11 19:46:54,141.383,141.383
2017-08-11 19:46:55,141.383,141.383
2017-08-11 19:46:56,141.383,141.383
2017-08-11 19:46:57,141.383,141.383
2017-08-11 19:46:58,141.383,141.383
2017-08-11 19:46:59,141.383,141.383
2017-08-11 19:47:01,141.383,141.383
2017-08-11 19:47:02,141.383,141.383
2017-08-11 19:47:03,141.383,141.383
2017-08-11 19:47:04,141.38,141.38
2017-08-11 19:47:05,141.38,141.38
2017-08-11 19:47:07,141.38,141.38
2017-08-11 19:47:08,141.38,141.38
2017-08-11 19:47:09,141.378,141.378
2017-08-11 19:47:10,141.378,141.378
2017-08-11 19:47:11,141.378,141.378
2017-08-11 19:47:12,141.378,141.378
2017-08-11 19:47:14,141.399,141.399
2017-08-11 19:47:15,141.407,141.407
2017-08-11 19:47:16,141.409,141.409
2017-08-11 19:47:17,141.406,141.406
2017-08-11 19:47:18,141.406,141.406
2017-08-11 19:47:20,141.396,141.396
2017-08-11 19:47:21,141.399,141.399
2017-08-11 19:47:22,141.412,141.412
2017-08-11 19:47:23,141.412,141.412
2017-08-11 19:47:24,141.413,141.413
2017-08-11 19:47:25,141.413,141.413
2017-08-11 19:47:27,141.414,141.414
2017-08-11 19:47:28,141.417,141.417
2017-08-11 19:47:29,141.417,141.417
2017-08-11 19:47:30,141.421,141.421
2017-08-11 19:47:31,141.424,141.424
2017-08-11 19:47:33,141.426,141.426
2017-08-11 19:47:34,141.422,141.422
2017-08-11 19:47:35,141.414,141.414
2017-08-11 19:47:36,141.417,141.417
2017-08-11 19:47:37,141.415,141.415
2017-08-11 19:47:38,141.416,141.416
2017-08-11 19:47:40,141.416,141.416
